,URL
85,http://www.lapresse.ca/actualites/national/201301/11/01-4610658-printemps-erable-hiver-indien.php
86,http://www.lapresse.ca/actualites/justice-et-affaires-criminelles/actualites-judiciaires/201608/04/01-5007200-michele-audette-un-reservoir-inepuisable-denergie.php
87,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/25/01-4615193-ottawa-ferme-le-portail-des-autochtones-au-canada.php
88,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/09/01-4609544-affaires-autochtones-harper-defend-son-bilan.php
89,http://www.lapresse.ca/actualites/national/201604/13/01-4970820-attawapiskat-lontario-fournira-jusqua-deux-millions.php
90,http://www.lapresse.ca/actualites/national/201302/01/01-4617297-kahnawake-les-autochtones-ne-veulent-pas-percevoir-de-taxes-sur-lessence.php
91,http://www.lapresse.ca/actualites/quebec-canada/national/201301/13/01-4610852-autochtones-ottawa-injecte-330-m-dans-les-reseaux-daqueduc-et-degout.php
92,http://www.lapresse.ca/actualites/justice-et-faits-divers/201301/08/01-4609182-les-metis-et-les-indiens-non-inscrits-sont-des-indiens-tranche-la-cour.php
93,http://www.lapresse.ca/actualites/quebec-canada/national/201301/12/01-4610784-une-militante-autochtone-veut-rendre-un-prix-en-soutien-a-theresa-spence.php
94,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/06/01-4608797-flou-dans-les-finances-dattawapiskat.php
95,http://www.lapresse.ca/actualites/national/201212/30/01-4607534-la-liaison-ferroviaire-toronto-montreal-bloquee.php
96,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/06/01-4601533-harper-dit-non-au-relachement-du-controle-des-armes-a-feu.php
97,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/09/01-4609721-spence-ne-sera-pas-au-sommet-avec-harper.php
98,http://www.lapresse.ca/actualites/national/201301/24/01-4614423-shawn-atleo-reprend-son-travail-a-lassemblee-des-premieres-nations.php
99,http://www.lapresse.ca/actualites/national/201301/16/01-4611990-idle-no-more-journee-nationale-daction.php
100,http://www.lapresse.ca/actualites/national/201302/02/01-4617744-idle-no-more-cette-crise-dont-personne-ne-veut.php
101,http://www.lapresse.ca/debats/chroniques/alain-dubuc/201301/14/01-4610997-la-tempete-parfaite.php
102,http://www.lapresse.ca/debats/editoriaux/andre-pratte/201301/17/01-4612395-une-paix-des-braves-canadienne.php
103,http://www.lapresse.ca/international/etats-unis/201211/21/01-4596026-san-francisco-bannit-la-nudite-publique.php
104,http://www.lapresse.ca/vivre/societe/201603/08/01-4958425-natasha-kanape-fontaine-je-dis-je-pour-dire-les-autres.php
105,http://www.lapresse.ca/actualites/national/201301/07/01-4609029-spence-qualifie-une-verification-comptable-de-sa-reserve-de-distraction.php
106,http://www.lapresse.ca/actualites/elections-federales/201510/25/01-4913711-la-colere-a-encourage-les-autochtones-a-voter.php
107,http://www.lapresse.ca/actualites/national/201301/06/01-4608733-idle-no-more-theresa-spence-obtient-lappui-de-paul-martin.php
108,http://www.lapresse.ca/actualites/montreal/201311/15/01-4711162-les-femen-sinvitent-au-palais-des-congres.php
109,http://www.lapresse.ca/actualites/montreal/201309/12/01-4688795-manifestation-contre-la-charte-des-valeurs-prevue-samedi-a-montreal.php
110,http://www.lapresse.ca/actualites/politique/politique-quebecoise/201301/06/01-4608751-quebec-solidaire-appuie-theresa-spence.php
