,URL
148,https://www.thestar.com//news/canada/2013/01/23/delegation_working_on_end_to_theresa_spences_hunger_strike.html
149,https://www.thestar.com//news/canada/2013/02/15/assembly_of_first_nations_rcmp_cooperated_on_response_to_mass_protests_in_2007.html
150,https://www.thestar.com//news/gta/2013/01/11/fiorito_feds_should_be_idle_no_more.html
151,https://www.thestar.com//opinion/editorialopinion/2013/02/22/parliamentary_budget_officer_kevin_page_is_a_national_hero.html
152,https://www.thestar.com//news/canada/2013/01/08/prime_minister_stephen_harper_says_first_nations_prosperity_the_key_to_solving_problems.html
153,https://www.thestar.com//news/canada/2014/09/18/university_prof_surprised_panel_discussion_ended_up_in_rcmp_report.html
154,https://www.thestar.com//entertainment/books/2014/08/30/up_ghost_river_a_chiefs_journey_through_the_turbulent_waters_of_native_history_by_edmund_metatawabin_with_alexandra_shimo_review.html
155,https://www.thestar.com//opinion/letters_to_the_editors/2013/02/04/justice_and_respect.html
156,https://www.thestar.com//news/canada/2013/08/28/attawapiskat_chief_theresa_spence_reelected.html
157,https://www.thestar.com//news/canada/2012/12/11/john_duncan_offers_to_meet_attawapiskat_chief_theresa_spence_whos_on_hunger_strike.html
158,https://www.thestar.com//news/canada/2017/07/01/idle-no-more-protesters-draw-attention-to-indigenous-youth-suicide-crisis-with-blockade-near-winnipeg.html
159,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/03/idle_no_more_needs_a_button.html
160,https://www.thestar.com//news/canada/2013/01/10/hbert_meeting_with_pm_only_course_for_first_nations_leadership.html
161,https://www.thestar.com//news/canada/2013/01/11/sir_john_a_macdonald_statue_vandalized_in_kingston.html
162,https://www.thestar.com//news/canada/2013/12/13/idle_no_more_one_year_later.html
163,https://www.thestar.com//news/gta/2013/02/03/protestors_block_cp_rail_tracks_over_lansdowne_ave_uranium_plant.html
164,https://www.thestar.com//news/canada/2015/05/31/social-media-miscues-imperil-political-powers-tim-harper.html
165,https://www.thestar.com//opinion/commentary/2014/05/05/assembly_of_first_nations_at_critical_crossroads.html
166,https://www.thestar.com//opinion/editorials/2013/01/04/prime_minister_stephen_harper_offers_modest_concession_to_aboriginal_protesters_editorial.html
167,https://www.thestar.com//news/canada/2013/11/29/private_eyes_to_hunt_for_residential_school_abusers.html
168,https://www.thestar.com//news/gta/2015/11/29/protesters-join-global-call-for-halt-to-climate-change.html
169,https://www.thestar.com//opinion/letters_to_the_editors/2013/07/25/juxtaposition_speaks_volumes.html
170,https://www.thestar.com//news/canada/2013/03/08/idle_no_more_quebec_cree_on_epic_walk_to_ottawa_picking_up_supporters_along_the_way.html
171,https://www.thestar.com//news/canada/2013/01/01/aboriginal_activists_take_idle_no_more_campaign_to_the_us.html
172,https://www.thestar.com//opinion/commentary/2014/11/29/the_problem_isnt_aboriginals_as_stephen_harper_suggests_its_us_siddiqui.html
173,https://www.thestar.com//news/canada/2013/01/16/tim_harper_a_fractured_aboriginal_leadership_hurts_its_own_grassroots.html
174,https://www.thestar.com//opinion/editorials/2012/12/27/prime_minister_stephen_harper_should_meet_chief_theresa_spence.html
175,https://www.thestar.com//news/canada/2013/01/16/idle_no_more_manitoba_newspaper_gives_thumbsdown_to_corrupt_lazy_aboriginal_terrorists.html
176,https://www.thestar.com//news/gta/2014/01/19/three_women_three_deaths_one_thing_in_common.html
177,https://www.thestar.com//news/canada/2016/04/15/canadian-media-need-to-improve-coverage-of-indigenous-issues-report-says.html
178,https://www.thestar.com//news/gta/2014/08/11/line_9_protesters_blockade_enbridge_site_in_north_york.html
179,https://www.thestar.com//news/canada/2013/01/11/idle_no_more_a_chance_to_repair_a_sad_legacy.html
180,https://www.thestar.com//news/canada/2016/04/13/attawapiskat-crisis-appears-to-be-case-of-suicide-contagion-experts-say.html
181,https://www.thestar.com//news/canada/2015/06/02/teachers-need-to-be-educated-about-residential-schools-says-tdsb-official.html
182,https://www.thestar.com//opinion/editorials/2013/01/07/attawapiskat_audit_is_no_excuse_for_denying_native_grievances_editorial.html
183,https://www.thestar.com//news/canada/2013/01/25/tim_harper_theresa_spences_unfulfilling_end_to_44day_fast.html
184,https://www.thestar.com//news/canada/2012/12/30/trains_moving_again_after_idle_no_more_blockade.html
185,https://www.thestar.com//news/insight/2012/12/28/chief_theresa_spences_hunger_strikes_chords_here_and_abroad.html
186,https://www.thestar.com//news/gta/2015/01/18/remembering-grandma-verna-johnston-smoothed-the-transition-to-toronto-for-countless-native-kids.html
187,https://www.thestar.com//news/canada/2013/01/10/chiefs_demand_fundamental_change_but_cant_guarantee_theyll_meet_prime_minister_stephen_harper.html
188,https://www.thestar.com//news/canada/2013/01/12/first_nations_harper_meeting_only_round_1_in_long_hard_haul.html
189,https://www.thestar.com//news/canada/2017/07/06/head-of-murdered-and-missing-indigenous-women-inquiry-will-not-resign-and-defends-progress.html
190,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/10/ceo_salaries_must_be_scrutinized.html
